artist,rank,song,year
The Righteous Brothers,5,You've Lost That Lovin' Feelin',1965
Petula Clark,6,Downtown,1965
The Beatles,7,Help!,1965
Herman's Hermits,8,Can't You Hear My Heartbeat,1965
Elvis Presley,9,Crying in the Chapel,1965
The Temptations,10,My Girl,1965
The Beach Boys,11,"Help Me, Rhonda",1965
Roger Miller,12,King of the Road,1965
Jewel Akens,13,The Birds and the Bees,1965
Mel Carter,14,"Hold Me, Thrill Me, Kiss Me",1965
Junior Walker &amp; the All Stars,15,Shotgun,1965
Sonny &amp; Cher,16,I Got You Babe,1965
Gary Lewis &amp; the Playboys,17,This Diamond Ring,1965
Ramsey Lewis Trio,18,The 'In' Crowd,1965
Herman's Hermits,19,"Mrs. Brown, You've Got a Lovely Daughter",1965
The Supremes,20,Stop! In the Name of Love,1965
The Righteous Brothers,21,Unchained Melody,1965
Herman's Hermits,22,Silhouettes,1965
The Seekers,23,I'll Never Find Another You,1965
Jay and the Americans,24,Cara Mia,1965
The Byrds,25,Mr. Tambourine Man,1965
Sounds Orchestral,26,Cast Your Fate to the Wind,1965
Barbara Mason,27,"Yes, I'm Ready",1965
Tom Jones,28,What's New Pussycat?,1965
Barry McGuire,29,Eve of Destruction,1965
The McCoys,30,Hang On Sloopy,1965
The Beatles,31,Ticket to Ride,1965
Bert Kaempfert,32,Red Roses for a Blue Lady,1965
James Brown,33,Papa's Got a Brand New Bag,1965
Wayne Fontana,34,Game of Love,1965
Shirley Ellis,35,The Name Game,1965
Petula Clark,36,I Know a Place,1965
The Supremes,37,Back in My Arms Again,1965
Barbara Lewis,38,Baby I'm Yours,1965
The Kingsmen,39,"""The Jolly Green Giant""",1965
Patti Page,40,"Hush, Hush, Sweet Charlotte",1965
Bob Dylan,41,Like a Rolling Stone,1965
Freddie and the Dreamers,42,I'm Telling You Now,1965
Gerry and the Pacemakers,43,Ferry Cross the Mersey,1965
The Righteous Brothers,44,Just Once in My Life,1965
Johnny Rivers,45,The Seventh Son,1965
Herman's Hermits,46,"I'm Henry the Eighth, I Am",1965
Horst Jankowski,47,A Walk in the Black Forest,1965
The Yardbirds,48,For Your Love,1965
The Beach Boys,49,California Girls,1965
The Moody Blues,50,Go Now,1965
Shirley Bassey,51,Goldfinger,1965
Billy Joe Royal,52,Down in the Boondocks,1965
Glenn Yarbrough,53,Baby the Rain Must Fall,1965
The Dave Clark Five,54,Catch Us If You Can,1965
The Beatles,55,Eight Days a Week,1965
The Beau Brummels,56,Just a Little,1965
Ian Whitcomb,57,You Turn Me On,1965
Marvin Gaye,58,I'll Be Doggone,1965
Gary Lewis &amp; the Playboys,59,Save Your Heart for Me,1965
The Kinks,60,Tired of Waiting for You,1965
Gary Lewis &amp; the Playboys,61,Count Me In,1965
The Kinks,62,All Day and All of the Night,1965
Jackie DeShannon,63,What the World Needs Now Is Love,1965
Tom Jones,64,It's Not Unusual,1965
Sir Douglas Quintet,65,She's About a Mover,1965
Sam Cooke,66,Shake,1965
Herman's Hermits,67,Wonderful World,1965
Martha and the Vandellas,68,Nowhere to Run,1965
The Yardbirds,69,Heart Full of Soul,1965
The Searchers,70,Love Potion No. 9,1965
Dickey Lee,71,"""Laurie (Strange Things Happen)""",1965
Sonny &amp; Cher,72,Baby Don't Go,1965
The Turtles,73,It Ain't Me Babe,1965
The Zombies,74,Tell Her No,1965
Peter and Gordon,75,I Go to Pieces,1965
Vic Dana,76,Red Roses for a Blue Lady,1965
Patty Duke,77,"""Don't Just Stand There""",1965
The Miracles,78,The Tracks of My Tears,1965
Brenda Lee,79,Too Many Rivers,1965
The Dave Clark Five,80,I Like It Like That,1965
Bobby Goldsboro,81,Little Things,1965
Peter and Gordon,82,True Love Ways,1965
Four Tops,83,It's the Same Old Song,1965
The Fortunes,84,You've Got Your Troubles,1965
Joe Tex,85,Hold What You've Got,1965
The Animals,86,We Gotta Get out of This Place,1965
The Beau Brummels,87,"Laugh, Laugh",1965
The Rolling Stones,88,The Last Time,1965
The Lovin' Spoonful,89,Do You Believe in Magic,1965
Cher,90,All I Really Want to Do,1965
Little Anthony and the Imperials,91,Take Me Back,1965
The Strangeloves,92,I Want Candy,1965
The Miracles,93,Ooo Baby Baby,1965
Sonny,94,Laugh at Me,1965
Roy Head,95,Treat Her Right,1965
Jack Jones,96,The Race Is On,1965
"Dino, Desi &amp; Billy",97,"""I'm a Fool""",1965
The Ad Libs,98,The Boy from New York City,1965
Del Shannon,99,Keep Searchin' (We'll Follow the Sun),1965
Marvin Gaye,100,How Sweet It Is (To Be Loved by You),1965
The Mamas &amp; the Papas,1,California Dreamin',1966
? and the Mysterians,2,96 Tears,1966
Jimmy Ruffin,3,What Becomes of the Brokenhearted,1966
The Monkees,4,Last Train to Clarksville,1966
Four Tops,5,Reach Out I'll Be There,1966
Nancy Sinatra,6,These Boots Are Made for Walkin',1966
The Association,7,Cherish,1966
Frank Sinatra,8,Strangers in the Night,1966
Paul Revere &amp; the Raiders,9,Kicks,1966
SSgt. Barry Sadler,10,Ballad of the Green Berets,1966
The Young Rascals,11,Good Lovin',1966
The Righteous Brothers,12,(You're My) Soul and Inspiration,1966
The Supremes,13,You Can't Hurry Love,1966
Bobby Hebb,14,Sunny,1966
The Happenings,15,See You In September,1966
Sam the Sham and the Pharaohs,16,Li'l Red Riding Hood,1966
Lou Christie,17,Lightnin' Strikes,1966
Johnny Rivers,18,Poor Side of Town,1966
Lee Dorsey,19,Working In The Coal Mine,1966
The Mindbenders,20,A Groovy Kind of Love,1966
Dusty Springfield,21,You Don't Have To Say You Love Me,1966
Donovan,22,Sunshine Superman,1966
Sandy Posey,23,"""Born a Woman""",1966
The Mamas &amp; the Papas,24,"Monday, Monday",1966
The Cyrkle,25,Red Rubber Ball,1966
Roger Williams,26,Born Free,1966
The Left Banke,27,Walk Away Renée,1966
The Capitols,28,Cool Jerk,1966
Carla Thomas,29,B-A-B-Y,1966
Tommy James and the Shondells,30,Hanky Panky,1966
Percy Sledge,31,When a Man Loves a Woman,1966
The Outsiders,32,Time Won't Let Me,1966
The Hollies,33,Bus Stop,1966
The Rolling Stones,34,"Paint It, Black",1966
The Lovin' Spoonful,35,Summer In The City,1966
B. J. Thomas &amp; the Triumphs,36,I'm So Lonesome I Could Cry,1966
Petula Clark,37,My Love,1966
The Lovin' Spoonful,38,Daydream,1966
The Temptations,39,Ain't Too Proud to Beg,1966
The Troggs,40,Wild Thing,1966
Bob Lind,41,Elusive Butterfly,1966
Simon &amp; Garfunkel,42,I Am a Rock,1966
The Standells,43,Dirty Water,1966
Tommy Roe,44,Hooray for Hazel,1966
Ray Charles,45,Crying Time,1966
Tommy Roe,46,Sweet Pea,1966
Johnny Rivers,47,Secret Agent Man,1966
The Lovin' Spoonful,48,Did You Ever Have to Make Up Your Mind?,1966
The Beatles,49,We Can Work It Out,1966
Simon &amp; Garfunkel,50,Homeward Bound,1966
Stevie Wonder,51,Uptight (Everything's Alright),1966
Cher,52,Bang Bang (My Baby Shot Me Down),1966
The Beach Boys,53,Sloop John B,1966
The Rolling Stones,54,19th Nervous Breakdown,1966
The Surfaris,55,Wipe Out,1966
Count Five,56,Psychotic Reaction,1966
The Beatles,57,Paperback Writer,1966
The Temptations,58,Beauty Is Only Skin Deep,1966
The T-Bones,59,No Matter What Shape (Your Stomach's In),1966
Robert Parker,60,Barefootin,1966
Paul Revere &amp; the Raiders,61,Just Like Me,1966
Deon Jackson,62,Love Makes the World Go Round,1966
Crispian St. Peters,63,The Pied Piper,1966
Ray Conniff Singers,64,Somewhere My Love,1966
David Houston,65,Almost Persuaded,1966
Bobby Darin,66,If I Were a Carpenter,1966
The Marvelettes,67,Don't Mess with Bill,1966
Neil Diamond,68,"Cherry, Cherry",1966
Dionne Warwick,69,Message to Michael,1966
Lou Rawls,70,Love Is a Hurtin' Thing,1966
The Shadows of Knight,71,Gloria,1966
The Supremes,72,My World Is Empty Without You,1966
The Beach Boys,73,Barbara Ann,1966
Bob Dylan,74,Rainy Day Women #12 &amp; 35,1966
The Sandpipers,75,Guantanamera,1966
James &amp; Bobby Purify,76,I'm Your Puppet,1966
Wilson Pickett,77,Land of 1000 Dances,1966
The Shades of Blue,78,Oh How Happy,1966
Peter and Gordon,79,Woman,1966
The Turtles,80,You Baby,1966
The Chiffons,81,Sweet Talkin' Guy,1966
The Vogues,82,Five O'Clock World,1966
Los Bravos,83,Black Is Black,1966
The Beatles,84,Nowhere Man,1966
Herman's Hermits,85,Dandy,1966
Slim Harpo,86,Baby Scratch My Back,1966
Gary Lewis &amp; The Playboys,87,She's Just My Style,1966
Chris Montez,88,The More I See You,1966
Bobby Fuller Four,89,I Fought the Law,1966
The Beatles,90,Yellow Submarine,1966
Paul Revere &amp; the Raiders,91,Hungry,1966
Herb Alpert and the Tijuana Brass,92,Zorba the Greek,1966
The Yardbirds,93,Shapes of Things,1966
The Association,94,Along Comes Mary,1966
Wilson Pickett,95,"634-5789 (Soulsville, U.S.A.)",1966
Mitch Ryder &amp; the Detroit Wheels,96,Devil with a Blue Dress On,1966
The Beach Boys,97,Wouldn't It Be Nice,1966
The Isley Brothers,98,This Old Heart of Mine,1966
Gary Lewis &amp; The Playboys,99,Green Grass,1966
The Kinks,100,A Well Respected Man,1966
Lulu,1,To Sir With Love,1967
The Box Tops,2,The Letter,1967
Bobbie Gentry,3,Ode to Billie Joe,1967
The Association,4,Windy,1967
The Monkees,5,I'm a Believer,1967
The Doors,6,Light My Fire,1967
Frank,7,Somethin' Stupid,1967
The Turtles,8,Happy Together,1967
The Young Rascals,9,Groovin',1967
Frankie Valli,10,Can't Take My Eyes off You,1967
The Music Explosion,11,Little Bit O' Soul,1967
Tommy James and the Shondells,12,I Think We're Alone Now,1967
Aretha Franklin,13,Respect,1967
Stevie Wonder,14,I Was Made to Love Her,1967
Bobby Vee,15,Come Back When You Grow Up,1967
The Buckinghams,16,Kind of a Drag,1967
Arthur Conley,17,Sweet Soul Music,1967
The Soul Survivors,18,Expressway to Your Heart,1967
Sam &amp; Dave,19,Soul Man,1967
The Association,20,Never My Love,1967
Jay &amp; the Techniques,21,"Apples, Peaches, Pumpkin Pie",1967
Every Mother's Son,22,Come on Down to My Boat,1967
Strawberry Alarm Clock,23,Incense and Peppermints,1967
The Rolling Stones,24,Ruby Tuesday,1967
Vikki Carr,25,It Must Be Him,1967
The Supremes,26,Love Is Here and Now You're Gone,1967
Buffalo Springfield,27,For What It's Worth,1967
Brenton Wood,28,Gimme Little Sign,1967
The Supremes,29,The Happening,1967
The Beatles,30,All You Need Is Love,1967
Engelbert Humperdinck,31,Release Me,1967
Marvin Gaye,32,Your Precious Love,1967
Jefferson Airplane,33,Somebody to Love,1967
The Esquires,34,Get on Up,1967
Van Morrison,35,Brown Eyed Girl,1967
Martha and the Vandellas,36,Jimmy Mack,1967
The Happenings,37,I Got Rhythm,1967
Procol Harum,38,A Whiter Shade of Pale,1967
The Buckinghams,39,Don't You Care,1967
The Casinos,40,Then You Can Tell Me Goodbye,1967
The Supremes,41,Reflections,1967
The Hollies,42,On a Carousel,1967
Bobby Vinton,43,Please Love Me Forever,1967
Dionne Warwick,44,Alfie,1967
The Tremeloes,45,Silence Is Golden,1967
Ed Ames,46,My Cup Runneth Over,1967
The 5th Dimension,47,"Up, Up and Away",1967
Scott McKenzie,48,San Francisco (Be Sure to Wear Flowers in Your Hair),1967
The Cowsills,49,"The Rain, The Park &amp; Other Things",1967
Herman's Hermits,50,There's a Kind of Hush,1967
The Buckinghams,51,"Mercy, Mercy, Mercy",1967
Petula Clark,52,This Is My Song,1967
Jackie Wilson,53,(Your Love Keeps Lifting Me) Higher and Higher,1967
The Young Rascals,54,"""I've Been Lonely Too Long""",1967
The Beatles,55,Penny Lane,1967
The Temptations,56,You're My Everything,1967
The Seekers,57,Georgy Girl,1967
Five Americans,58,Western Union,1967
Aretha Franklin,59,Baby I Love You,1967
The Monkees,60,"A Little Bit Me, a Little Bit You",1967
Lesley Gore,61,California Nights,1967
The Mamas &amp; the Papas,62,Dedicated to the One I Love,1967
The Young Rascals,63,How Can I Be Sure,1967
The Hollies,64,Carrie Anne,1967
Blues Magoos,65,(We Ain't Got) Nothin' Yet,1967
The Easybeats,66,Friday on My Mind,1967
The Bar-Kays,67,Soul Finger,1967
The Spencer Davis Group,68,Gimme Some Lovin',1967
The Hombres,69,Let It Out (Let It All Hang Out),1967
The Grass Roots,70,Let's Live for Today,1967
Peaches &amp; Herb,71,"""Close Your Eyes""",1967
Booker T &amp; the M.G.'s,72,Groovin',1967
Wilson Pickett,73,Funky Broadway,1967
The Monkees,74,Pleasant Valley Sunday,1967
Aretha Franklin,75,I Never Loved a Man (The Way I Love You),1967
Aaron Neville,76,Tell It Like It Is,1967
James Brown,77,Cold Sweat,1967
The Turtles,78,She'd Rather Be with Me,1967
Keith,79,98.6,1967
Ray Charles,80,Here We Go Again,1967
Jefferson Airplane,81,White Rabbit,1967
Four Tops,82,Bernadette,1967
Sonny &amp; Cher,83,The Beat Goes On,1967
The Royal Guardsmen,84,Snoopy Vs. The Red Baron,1967
Janis Ian,85,Society's Child,1967
Neil Diamond,86,"Girl, You'll Be a Woman Soon",1967
Marvin Gaye,87,Ain't No Mountain High Enough,1967
Sandy Posey,88,"""I Take It Back""",1967
The Tremeloes,89,Here Comes My Baby,1967
Robert Knight,90,Everlasting Love,1967
"Peter, Paul and Mary",91,I Dig Rock and Roll Music,1967
Bill Cosby,92,"Little Ole Man (Uptight, Everything's Alright)",1967
The Electric Prunes,93,I Had Too Much to Dream (Last Night),1967
The Monkees,94,Daydream Believer,1967
Johnny Rivers,95,Baby I Need Your Lovin',1967
Tommy James and the Shondells,96,Mirage,1967
Tom Jones,97,"Green, Green Grass of Home",1967
The Who,98,I Can See for Miles,1967
Petula Clark,99,Don't Sleep in the Subway,1967
Neil Diamond,100,"""Thank the Lord for the Night Time""",1967
The Beatles,1,Hey Jude,1968
Paul Mauriat,2,Love is Blue,1968
Bobby Goldsboro,3,Honey,1968
Otis Redding,4,(Sittin' On) The Dock of the Bay,1968
The Rascals,5,People Got to Be Free,1968
Cream,6,Sunshine of Your Love,1968
Herb Alpert,7,This Guy's in Love With You,1968
Hugo Montenegro,8,"The Good, the Bad and the Ugly",1968
Simon &amp; Garfunkel,9,Mrs. Robinson,1968
Archie Bell &amp; the Drells,10,Tighten Up,1968
Jeannie C. Riley,11,Harper Valley PTA,1968
O. C. Smith,12,Little Green Apples,1968
Tommy James and the Shondells,13,Mony Mony,1968
The Doors,14,"Hello, I Love You",1968
Gary Puckett &amp; The Union Gap,15,Young Girl,1968
The Box Tops,16,Cry Like a Baby,1968
The 5th Dimension,17,Stoned Soul Picnic,1968
Hugh Masekela,18,Grazing in the Grass,1968
The Grass Roots,19,Midnight Confessions,1968
Sly &amp; the Family Stone,20,Dance to the Music,1968
Cliff Nobles,21,The Horse,1968
The Temptations,22,I Wish It Would Rain,1968
The Delfonics,23,La-La (Means I Love You),1968
The Vogues,24,"Turn Around, Look at Me",1968
John Fred &amp; His Playboy Band,25,Judy in Disguise (With Glasses),1968
Classics IV,26,Spooky,1968
The Supremes,27,Love Child,1968
Merrilee Rush,28,Angel of the Morning,1968
Georgie Fame,29,The Ballad of Bonnie and Clyde,1968
Mary Hopkin,30,Those Were the Days,1968
Steppenwolf,31,Born to Be Wild,1968
The Intruders,32,Cowboys to Girls,1968
1910 Fruitgum Company,33,Simon Says,1968
Gary Puckett &amp; The Union Gap,34,Lady Willpower,1968
The Rascals,35,A Beautiful Morning,1968
Sérgio Mendes,36,The Look of Love,1968
Johnny Nash,37,"""Hold Me Tight""",1968
Ohio Express,38,Yummy Yummy Yummy,1968
The Crazy World of Arthur Brown,39,Fire,1968
The Troggs,40,Love Is All Around,1968
Gene &amp; Debbe,41,"""Playboy""",1968
Dionne Warwick,42,(Theme from) Valley of the Dolls,1968
Mason Williams,43,Classical Gas,1968
Clarence Carter,44,"""Slip Away""",1968
The O'Kaysions,45,Girl Watcher,1968
Aretha Franklin,46,(Sweet Sweet Baby) Since You've Been Gone,1968
The Lemon Pipers,47,Green Tambourine,1968
1910 Fruitgum Company,48,"1, 2, 3, Red Light",1968
Friend &amp; Lover,49,Reach out of the Darkness,1968
The Rolling Stones,50,Jumpin' Jack Flash,1968
Richard Harris,51,MacArthur Park,1968
José Feliciano,52,Light My Fire,1968
People!,53,I Love You,1968
Percy Sledge,54,"""Take Time to Know Her""",1968
Status Quo,55,Pictures of Matchstick Men,1968
Blue Cheer,56,Summertime Blues,1968
Marvin Gaye,57,Ain't Nothing Like the Real Thing,1968
James Brown,58,I Got the Feelin',1968
The Bee Gees,59,I've Gotta Get a Message to You,1968
The Beatles,60,Lady Madonna,1968
Donovan,61,Hurdy Gurdy Man,1968
Steppenwolf,62,Magic Carpet Ride,1968
The Fireballs,63,Bottle of Wine,1968
The Dells,64,Stay in My Corner,1968
Willie Mitchell,65,Soul Serenade,1968
Tom Jones,66,Delilah,1968
The Human Beinz,67,Nobody but Me,1968
Sam &amp; Dave,68,I Thank You,1968
Sérgio Mendes,69,The Fool on the Hill,1968
The Animals,70,Sky Pilot,1968
The Cowsills,71,Indian Lake,1968
Tommy Boyce &amp; Bobby Hart,72,I Wonder What She's Doing Tonight,1968
Gary Puckett &amp; The Union Gap,73,Over You,1968
The Lettermen,74,Goin' Out of My Head,1968
Stevie Wonder,75,Shoo-Be-Doo-Be-Doo-Da-Day,1968
The Irish Rovers,76,The Unicorn,1968
Vanilla Fudge,77,You Keep Me Hangin' On,1968
The Beatles,78,Revolution,1968
Gary Puckett &amp; The Union Gap,79,"Woman, Woman",1968
The Turtles,80,Elenore,1968
Cream,81,White Room,1968
Marvin Gaye,82,You're All I Need to Get By,1968
The Foundations,83,"Baby, Now That I've Found You",1968
The Sweet Inspirations,84,Sweet Inspiration,1968
Smokey Robinson and the Miracles,85,If You Can Want,1968
The Mills Brothers,86,"""Cab Driver""",1968
The Chambers Brothers,87,Time Has Come Today,1968
Dionne Warwick,88,Do You Know the Way to San Jose,1968
Simon &amp; Garfunkel,89,Scarborough Fair,1968
James Brown,90,Say It Loud  I'm Black and I'm Proud,1968
Manfred Mann,91,The Mighty Quinn,1968
Shorty Long,92,Here Comes the Judge,1968
Aretha Franklin,93,I Say a Little Prayer,1968
Aretha Franklin,94,Think,1968
Gary Lewis and the Playboys,95,Sealed with a Kiss,1968
Big Brother and the Holding Company,96,Piece of My Heart,1968
Creedence Clearwater Revival,97,Suzie Q.,1968
The American Breed,98,"Bend Me, Shape Me",1968
Jerry Butler,99,"Hey, Western Union Man",1968
Jerry Butler,100,Never Give You Up,1968
The Archies,1,"Sugar, Sugar",1969
The 5th Dimension,2,Aquarius/Let the Sunshine In,1969
The Temptations,3,I Can't Get Next to You,1969
The Rolling Stones,4,Honky Tonk Women,1969
Sly and the Family Stone,5,Everyday People,1969
Tommy Roe,6,Dizzy,1969
Sly and the Family Stone,7,Hot Fun in the Summertime,1969
Tom Jones,8,I'll Never Fall in Love Again,1969
The Foundations,9,Build Me Up Buttercup,1969
Tommy James and the Shondells,10,Crimson and Clover,1969
Three Dog Night,11,One,1969
Tommy James and the Shondells,12,Crystal Blue Persuasion,1969
The Cowsills,13,Hair,1969
Marvin Gaye,14,Too Busy Thinking About My Baby,1969
Henry Mancini,15,Love Theme from Romeo and Juliet,1969
The Youngbloods,16,Get Together,1969
The Friends of Distinction,17,Grazing in the Grass,1969
Elvis Presley,18,Suspicious Minds,1969
Creedence Clearwater Revival,19,Proud Mary,1969
Jr. Walker &amp; The All Stars,20,What Does It Take (To Win Your Love),1969
The Isley Brothers,21,It's Your Thing,1969
Neil Diamond,22,Sweet Caroline,1969
Oliver,23,Jean,1969
Creedence Clearwater Revival,24,Bad Moon Rising,1969
The Beatles,25,Get Back,1969
Zager &amp; Evans,26,In the Year 2525,1969
"Blood, Sweat &amp; Tears",27,Spinning Wheel,1969
Andy Kim,28,"Baby, I Love You",1969
The Friends of Distinction,29,Going in Circles,1969
The Lettermen,30,Hurt So Bad,1969
Creedence Clearwater Revival,31,Green River,1969
Stevie Wonder,32,My Cherie Amour,1969
Three Dog Night,33,Easy to Be Hard,1969
Smith,34,Baby It's You,1969
Elvis Presley,35,In the Ghetto,1969
Johnny Cash,36,A Boy Named Sue,1969
The Miracles,37,"Baby, Baby Don't Cry",1969
Jerry Butler,38,Only the Strong Survive,1969
The Zombies,39,Time of the Season,1969
The 5th Dimension,40,Wedding Bell Blues,1969
Bobby Sherman,41,Little Woman,1969
Mercy,42,Love (Can Make You Happy),1969
Oliver,43,Good Morning Starshine,1969
The Guess Who,44,These Eyes,1969
"Blood, Sweat &amp; Tears",45,You've Made Me So Very Happy,1969
Jackie DeShannon,46,Put a Little Love in Your Heart,1969
The Watts 103rd Street Rhythm Band,47,Do Your Thing,1969
The Grass Roots,48,I'd Wait a Million Years,1969
The Doors,49,Touch Me,1969
Spiral Starecase,50,More Today Than Yesterday,1969
Sammy Davis Jr.,51,I've Gotta Be Me,1969
Bob Dylan,52,Lay Lady Lay,1969
